invoice_id,claim_id,part,part_cost,labor_hours,labor_rate,labor_cost,tax,total,invoice_date
INV000001,CLM017100,drain pump,150.0,1.3,95,123.5,19.15,292.65,2025-05-17
INV000002,CLM000392,heating element,95.0,1.9,95,180.5,19.29,294.79,2025-08-13
INV000003,CLM003523,control board,230.0,2.3,110,253.0,33.81,516.81,2024-05-21
INV000004,CLM000552,pump,180.0,2.7,125,337.5,36.23,553.73,2024-10-07
INV000005,CLM004301,belt,25.0,0.5,85,42.5,4.73,72.23,2024-09-09
INV000006,CLM003815,drain pump,150.0,2.1,110,231.0,26.67,407.67,2024-05-29
INV000007,CLM001450,compressor,850.0,1.9,125,237.5,76.13,1163.63,2024-11-20
INV000008,CLM001078,compressor,850.0,3.8,110,418.0,88.76,1356.76,2024-07-07
INV000009,CLM004060,drain pump,150.0,1.2,85,102.0,17.64,269.64,2025-08-01
INV000010,CLM005720,belt,25.0,1.4,110,154.0,12.53,191.53,2024-06-30
INV000011,CLM002242,heating element,95.0,2.2,85,187.0,19.74,301.74,2025-06-26
INV000012,CLM001784,thermostat,120.0,3.4,85,289.0,28.63,437.63,2024-01-06
INV000013,CLM013704,pump,180.0,3.5,85,297.5,33.43,510.93,2024-12-01
INV000014,CLM015518,blower motor,260.0,1.7,125,212.5,33.08,505.58,2024-04-27
INV000015,CLM003658,belt,25.0,1.3,85,110.5,9.49,144.99,2025-04-16
INV000016,CLM001399,pump,180.0,1.3,85,110.5,20.34,310.84,2025-01-23
INV000017,CLM010067,control board,230.0,2.7,85,229.5,32.17,491.67,2024-10-07
INV000018,CLM008410,belt,25.0,2.6,95,247.0,19.04,291.04,2024-02-15
INV000019,CLM004137,pump,180.0,3.5,85,297.5,33.43,510.93,2024-10-10
INV000020,CLM014236,belt,25.0,1.0,95,95.0,8.4,128.4,2025-07-24
INV000021,CLM017650,control board,230.0,1.4,85,119.0,24.43,373.43,2024-02-07
INV000022,CLM012419,drain pump,150.0,3.9,95,370.5,36.44,556.94,2024-10-31
INV000023,CLM003901,heating element,95.0,3.4,125,425.0,36.4,556.4,2024-12-29
INV000024,CLM001419,thermostat,120.0,3.6,85,306.0,29.82,455.82,2024-10-21
INV000025,CLM004640,blower motor,260.0,2.5,125,312.5,40.08,612.58,2025-06-22
INV000026,CLM016254,heating element,95.0,0.5,95,47.5,9.98,152.48,2025-05-15
INV000027,CLM013338,blower motor,260.0,1.6,85,136.0,27.72,423.72,2025-03-31
INV000028,CLM012213,control board,230.0,1.1,125,137.5,25.73,393.23,2025-08-20
INV000029,CLM010016,thermostat,120.0,1.4,95,133.0,17.71,270.71,2025-03-24
INV000030,CLM013664,pump,180.0,3.4,95,323.0,35.21,538.21,2024-02-18
INV000031,CLM015823,compressor,850.0,2.3,85,195.5,73.19,1118.69,2025-04-19
INV000032,CLM001969,evaporator coil,420.0,3.3,95,313.5,51.35,784.85,2024-01-07
INV000033,CLM006602,blower motor,260.0,2.6,95,247.0,35.49,542.49,2025-06-04
INV000034,CLM012627,compressor,850.0,0.7,95,66.5,64.16,980.66,2024-04-07
INV000035,CLM010769,drain pump,150.0,0.6,110,66.0,15.12,231.12,2024-11-11
INV000036,CLM015430,drain pump,150.0,1.7,110,187.0,23.59,360.59,2024-08-04
INV000037,CLM005847,heating element,95.0,1.5,85,127.5,15.58,238.08,2025-06-15
INV000038,CLM006332,drain pump,150.0,1.7,95,161.5,21.81,333.31,2025-08-04
INV000039,CLM000607,belt,25.0,3.9,85,331.5,24.96,381.46,2025-06-08
INV000040,CLM003874,thermostat,120.0,2.5,125,312.5,30.28,462.78,2025-08-10
INV000041,CLM008844,evaporator coil,420.0,3.4,110,374.0,55.58,849.58,2024-09-29
INV000042,CLM018624,pump,180.0,3.2,95,304.0,33.88,517.88,2024-09-05
INV000043,CLM012697,belt,25.0,2.9,95,275.5,21.04,321.54,2025-03-13
INV000044,CLM001066,control board,230.0,3.7,85,314.5,38.12,582.62,2024-12-02
INV000045,CLM017103,control board,230.0,2.9,85,246.5,33.36,509.86,2024-10-08
INV000046,CLM015507,pump,180.0,1.1,95,104.5,19.92,304.42,2025-07-05
INV000047,CLM017981,control board,230.0,2.9,110,319.0,38.43,587.43,2024-02-17
INV000048,CLM013995,heating element,95.0,0.6,125,75.0,11.9,181.9,2025-06-26
INV000049,CLM006143,drain pump,150.0,1.0,125,125.0,19.25,294.25,2024-12-11
INV000050,CLM017540,evaporator coil,420.0,2.3,125,287.5,49.53,757.03,2025-04-22
INV000051,CLM014748,pump,180.0,1.2,125,150.0,23.1,353.1,2025-05-02
INV000052,CLM000332,control board,230.0,2.0,110,220.0,31.5,481.5,2025-03-06
INV000053,CLM015437,heating element,95.0,1.1,85,93.5,13.2,201.7,2025-04-18
