claim_id,customer_id,plan,state,appliance,issue,created_date,status,decision,payout,reason_code
CLM000001,C01437,Platinum,WA,Electrical Panel,burn smell,2025-05-11,closed,partial,3981.17,
CLM000002,C00526,Gold,CT,Washer,won't spin,2024-10-07,approved,covered,109.04,
CLM000003,C01749,Gold,NY,Microwave,magnetron fault,2024-12-31,in_review,,0.0,
CLM000004,C01574,Silver,WA,Electrical Panel,burn smell,2024-05-22,in_review,,0.0,
CLM000005,C00245,Platinum,HI,Refrigerator,not cooling,2024-10-04,approved,denied,0.0,EXCLUDED_PREEXIST
CLM000006,C00471,Silver,RI,Dishwasher,won't start,2025-06-14,submitted,,0.0,
CLM000007,C01137,Gold,MN,Electrical Panel,burn smell,2025-01-15,denied,denied,0.0,INFO_MISSING
CLM000008,C01890,Platinum,KY,Electrical Panel,burn smell,2025-07-21,approved,denied,0.0,COVERED_MECH
CLM000009,C00667,Gold,CA,Microwave,turntable stuck,2024-06-20,in_review,,0.0,
CLM000010,C00233,Platinum,RI,Microwave,magnetron fault,2024-07-04,approved,partial,3448.03,
CLM000011,C01043,Platinum,OH,Refrigerator,ice maker failure,2024-01-25,in_review,,0.0,
CLM000012,C00225,Platinum,MT,HVAC,refrigerant leak,2024-12-19,approved,partial,2918.36,
CLM000013,C01906,Silver,MA,Dryer,drum won't turn,2024-03-22,denied,partial,1094.27,
CLM000014,C00639,Platinum,IN,Dishwasher,drain issue,2025-01-01,in_review,,0.0,
CLM000015,C00440,Platinum,OH,Dryer,no heat,2025-07-26,approved,denied,0.0,LIMIT_EXCEEDED
CLM000016,C01882,Platinum,CO,Plumbing,low pressure,2024-09-23,in_review,,0.0,
CLM000017,C01734,Silver,CO,Dishwasher,drain issue,2025-06-21,approved,denied,0.0,EXCLUDED_PREEXIST
CLM000018,C01207,Silver,MD,HVAC,thermostat error,2025-06-18,submitted,,0.0,
CLM000019,C01049,Gold,WI,Plumbing,leak under sink,2024-10-24,in_review,,0.0,
CLM000020,C00498,Gold,HI,Water Heater,pilot won't stay lit,2024-03-13,closed,partial,1129.83,
CLM000021,C01032,Silver,VT,Dryer,thermal fuse blown,2024-04-04,approved,denied,0.0,LIMIT_EXCEEDED
CLM000022,C00752,Platinum,ND,Washer,drain pump failure,2024-12-31,submitted,,0.0,
CLM000023,C00296,Gold,GA,Electrical Panel,burn smell,2024-11-05,approved,denied,0.0,LIMIT_EXCEEDED
CLM000024,C00787,Silver,AR,Washer,won't spin,2024-05-20,denied,denied,0.0,INFO_MISSING
CLM000025,C01948,Silver,OR,Refrigerator,control board fault,2024-02-18,approved,denied,0.0,EXCLUDED_INSTALL
CLM000026,C00141,Silver,SC,HVAC,refrigerant leak,2025-07-27,in_review,,0.0,
CLM000027,C01072,Gold,SD,Washer,drain pump failure,2025-04-30,approved,denied,0.0,LIMIT_EXCEEDED
CLM000028,C00212,Platinum,AZ,Microwave,magnetron fault,2025-01-03,in_review,,0.0,
CLM000029,C01417,Silver,NE,Washer,belt snapped,2025-06-17,denied,covered,152.5,
CLM000030,C01320,Silver,NE,Plumbing,clogged drain,2024-08-19,in_review,,0.0,
CLM000031,C01093,Platinum,LA,HVAC,refrigerant leak,2024-01-12,submitted,,0.0,
CLM000032,C01762,Silver,MA,Microwave,no power,2025-05-18,submitted,,0.0,
CLM000033,C00779,Silver,TN,HVAC,thermostat error,2024-04-18,closed,partial,1440.57,
CLM000034,C00693,Platinum,MI,Plumbing,leak under sink,2024-04-03,in_review,,0.0,
CLM000035,C00354,Platinum,IN,Dryer,thermal fuse blown,2024-12-31,denied,covered,1222.08,
CLM000036,C01516,Platinum,ME,Water Heater,no hot water,2025-06-12,denied,denied,0.0,EXCLUDED_INSTALL
CLM000037,C01061,Gold,NM,Water Heater,leak,2024-10-11,denied,partial,701.89,
CLM000038,C00229,Platinum,GA,Microwave,turntable stuck,2025-07-29,closed,covered,1122.01,
CLM000039,C00299,Gold,RI,Dryer,thermal fuse blown,2024-10-13,approved,denied,0.0,LIMIT_EXCEEDED
CLM000040,C00231,Silver,LA,Water Heater,no hot water,2024-11-15,approved,partial,1430.66,
CLM000041,C01230,Platinum,OH,Plumbing,low pressure,2025-01-15,denied,covered,4037.31,
CLM000042,C01962,Silver,SD,Washer,drain pump failure,2024-09-11,denied,covered,1344.71,
CLM000043,C00697,Silver,MS,Dryer,thermal fuse blown,2025-04-03,closed,denied,0.0,INFO_MISSING
CLM000044,C01567,Silver,MT,HVAC,refrigerant leak,2024-12-28,closed,covered,1142.22,
CLM000045,C01780,Platinum,TN,Dryer,drum won't turn,2024-09-19,approved,partial,4494.02,
CLM000046,C01582,Silver,OH,Plumbing,low pressure,2025-04-01,submitted,,0.0,
CLM000047,C00850,Gold,OR,Water Heater,no hot water,2024-07-19,denied,partial,1977.98,
